,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2020-05-10 23:14:59,2.37793617176e-07,1.05479124818e-08,3.97794368689e-09,4.11119754274e-09
2020-05-10 23:29:59,2.49828941465e-07,8.47019744924e-09,3.33841420546e-09,3.46704043951e-09
2020-05-10 23:44:59,2.1284144593e-07,6.47447738257e-09,2.55231830274e-09,2.63464955141e-09
2020-05-10 23:59:59,1.8674759441e-07,6.42412629924e-09,2.83587402237e-09,2.9869377718e-09
2020-05-11 00:14:59,1.78653443865e-07,5.37254119466e-09,2.96504117201e-09,3.10674654921e-09
2020-05-11 00:29:59,1.70830340865e-07,5.31155323117e-09,2.68163648101e-09,2.758561137e-09
2020-05-11 00:44:59,1.79063322282e-07,7.11060267097e-09,3.03817531081e-09,3.11830160323e-09
2020-05-11 00:59:59,6.11693315224e-07,8.95069003191e-09,3.37101287367e-09,3.46496913086e-09
2020-05-11 01:14:59,7.65587516012e-07,9.64444755169e-09,4.19825853541e-09,4.36690182222e-09
2020-05-11 01:29:59,3.34690299347e-07,6.46969988565e-09,3.51400610235e-09,3.80166127241e-09
2020-05-11 01:44:59,1.92260331275e-07,8.42874290051e-09,4.19511964589e-09,4.47107986622e-09
2020-05-11 01:59:59,1.69010598161e-07,7.44682014056e-09,3.69146577572e-09,3.87925370347e-09
2020-05-11 02:14:59,1.72863473598e-07,6.48759942379e-09,2.9361039796e-09,3.04144504621e-09
2020-05-11 02:29:59,1.71460620178e-07,5.41407677907e-09,2.3895934156e-09,2.49564133598e-09
2020-05-11 02:44:59,1.67310491029e-07,5.90188243877e-09,2.62949520198e-09,2.72215270281e-09
2020-05-11 02:59:59,1.77697369146e-07,7.19967749283e-09,3.53475534648e-09,3.72618391765e-09
2020-05-11 03:14:59,1.72679899178e-07,6.37277118522e-09,3.44765978393e-09,3.7302799439e-09
2020-05-11 03:29:59,1.7430604138e-07,7.35861463916e-09,3.70782401146e-09,3.95404383016e-09
2020-05-11 03:44:59,1.75383703785e-07,8.31734307988e-09,4.02273987313e-09,4.18899211344e-09
2020-05-11 03:59:59,1.77054972428e-07,7.87375345939e-09,3.62632131425e-09,3.77614209567e-09
2020-05-11 04:14:59,1.89965681992e-07,1.24063593095e-08,3.11774150853e-09,3.20564121058e-09
2020-05-11 04:29:59,1.87674487216e-07,1.05776031645e-08,2.81969899726e-09,2.90163300257e-09
2020-05-11 04:44:59,1.79214853555e-07,7.20622855405e-09,3.24171824029e-09,3.40900289263e-09
2020-05-11 04:59:59,1.78865638912e-07,7.03792945986e-09,3.29498414408e-09,3.39475461901e-09
2020-05-11 05:14:59,1.70406131815e-07,7.02264615813e-09,3.27137969874e-09,3.33915837914e-09
2020-05-11 05:29:59,1.62398241309e-07,8.46645122184e-09,3.36817632258e-09,3.44327016027e-09
2020-05-11 05:44:59,1.68351236204e-07,9.55808288452e-09,3.60163414095e-09,3.71027152207e-09
2020-05-11 05:59:59,1.68442837609e-07,9.02236459674e-09,3.81390329001e-09,3.91945919734e-09
2020-05-11 06:14:59,1.73886078337e-07,6.10748287341e-09,2.83579132566e-09,2.91861386289e-09
2020-05-11 06:29:59,1.79878721205e-07,2.68430159909e-09,1.29526764605e-09,1.39034680661e-09
2020-05-11 06:44:59,1.75056451999e-07,4.26771662901e-09,1.92918703654e-09,2.06443203989e-09
2020-05-11 06:59:59,1.73327508951e-07,3.48203855259e-09,1.63242226145e-09,1.70618947652e-09
2020-05-11 07:14:59,1.77698545138e-07,2.3356418956e-09,9.87116237859e-10,1.02310023052e-09
2020-05-11 07:29:59,1.78336007094e-07,2.20018461656e-09,8.67445374342e-10,9.02999100656e-10
2020-05-11 07:44:59,1.81517661991e-07,2.25647291361e-09,9.53171011475e-10,9.85716688643e-10
2020-05-11 07:59:59,1.65557947241e-07,2.22441370867e-09,8.81376184415e-10,9.09128225888e-10
2020-05-11 08:14:59,1.70037443493e-07,2.02806967766e-09,6.12713542393e-10,6.38884644916e-10
2020-05-11 08:29:59,1.70989271398e-07,2.04297977148e-09,6.26580122469e-10,6.53674235767e-10
2020-05-11 08:44:59,1.68234493834e-07,2.15458837309e-09,6.13436565737e-10,6.42131204176e-10
2020-05-11 08:59:59,1.80200334206e-07,2.22886240635e-09,5.9904290774e-10,6.28124467484e-10
2020-05-11 09:14:59,1.88371175803e-07,2.25496862437e-09,6.16303546313e-10,6.46896142677e-10
2020-05-11 09:29:59,1.81609326493e-07,2.22563068835e-09,5.89849584648e-10,6.20442164955e-10
2020-05-11 09:44:59,1.73962535178e-07,2.23853043993e-09,5.34722594726e-10,5.61804647242e-10
2020-05-11 09:59:59,1.82104781267e-07,2.35931107833e-09,5.62244322549e-10,5.85515628245e-10
2020-05-11 10:14:59,1.69103522547e-07,2.28059641852e-09,5.61198077352e-10,5.85309717893e-10
2020-05-11 10:29:59,1.63102103117e-07,2.28931874158e-09,5.50291659898e-10,5.72396166329e-10
2020-05-11 10:44:59,1.72743669216e-07,2.28792499999e-09,4.86833151915e-10,5.10678276517e-10
2020-05-11 10:59:59,1.72034777019e-07,2.29181033104e-09,4.84093405686e-10,5.08133036411e-10
2020-05-11 11:14:59,1.78317715369e-07,2.36201470476e-09,4.46088462242e-10,4.69400622899e-10
2020-05-11 11:29:59,1.79533157579e-07,2.40097417933e-09,4.06161370841e-10,4.30913070215e-10
2020-05-11 11:44:59,1.77333747753e-07,2.43548522092e-09,3.78490581964e-10,4.09663648907e-10
2020-05-11 11:59:59,1.72755046825e-07,2.42766282295e-09,3.72817205133e-10,4.03431264375e-10
2020-05-11 12:14:59,1.71653509027e-07,2.42487844364e-09,3.7540608365e-10,4.03404923807e-10
2020-05-11 12:29:59,1.88454611245e-07,2.48665591282e-09,3.83047352231e-10,4.08596674712e-10
2020-05-11 12:44:59,1.89389312142e-07,2.52234734009e-09,3.39178282711e-10,3.65381359444e-10
2020-05-11 12:59:59,1.82406905761e-07,2.50783725734e-09,3.42961672308e-10,3.70319387738e-10
2020-05-11 13:14:59,1.8931977089e-07,2.50334713477e-09,3.15860117553e-10,3.41973348164e-10
2020-05-11 13:29:59,1.81426562159e-07,2.5079644442e-09,3.11125930317e-10,3.36557344955e-10
2020-05-11 13:44:59,1.88383308733e-07,2.53160101817e-09,3.03157941632e-10,3.34536478686e-10
2020-05-11 13:59:59,1.8895788412e-07,2.57722462435e-09,3.94928105315e-10,4.21742391793e-10
2020-05-11 14:14:59,1.83893586551e-07,2.55814708054e-09,3.6222305458e-10,3.85333249535e-10
2020-05-11 14:29:59,1.96598274239e-07,2.45884305118e-09,2.49524291595e-10,2.79619553267e-10
